저널명,SJR,랭킹
Annual Review of Pathology: Mechanisms of Disease,12.185,74
Journal of Econometrics,12.168,75
Physiological Reviews,12.167,76
Immunity,12.163,77
Signal Transduction and Targeted Therapy,12.135,78
The Lancet,12.113,79
Cell Metabolism,11.989,80
Nature Cancer,11.941,81
The Lancet Neurology,11.729,82
MMWR supplements,11.672,83
Nature Photonics,11.546,84
Chemical Society Reviews,11.467,85
The Lancet Gastroenterology and Hepatology,11.398,86
eLight,11.392,87
The Lancet Oncology,11.319,88
Journal of Clinical Oncology,11.205,89
Nature Neuroscience,11.197,90
Nature Electronics,11.082,91
Joule,10.868,92
Kidney International Supplements,10.788,93
Nature Reviews Cardiology,10.662,94
Journal of Hepatology,10.575,95
Reviews of Geophysics,10.546,96
Energy and Environmental Science,10.529,97
Academy of Management Journal,10.528,98
Science,10.416,99
Administrative Science Quarterly,10.393,100
Nature Immunology,10.390,101
Handbook of Industrial Organization,10.234,102
Journal of Hematology and Oncology,10.192,103
Organizational Research Methods,10.181,104
Strategic Management Journal,10.176,105
Nature Biomedical Engineering,10.105,106
Nature Reviews Gastroenterology and Hepatology,9.911,107
Nature Reviews Physics,9.803,108
Annual Review of Condensed Matter Physics,9.795,109
NBER Macroeconomics Annual,9.760,110
eScience,9.726,111
Morbidity and Mortality Weekly Report,9.559,112
Annual Review of Biochemistry,9.520,113
Astronomy and Astrophysics Review,9.465,114
Nature Reviews Neuroscience,9.331,115
Cell Stem Cell,9.313,116
Molecular Cancer,9.263,117
Endocrine Reviews,9.175,118
Annals of Mathematics Studies,9.135,119
Acta Mathematica,9.069,120
Molecular Cell,9.051,121
Journal of the American College of Cardiology,9.015,122
Gut,8.874,123
Advanced Materials,8.851,124
Cell Research,8.740,125
Psychological Bulletin,8.696,126
Circulation,8.668,127
Journal of Management,8.636,128
Annals of Mathematics,8.627,129
American Economic Journal: Applied Economics,8.597,130
Progress in Materials Science,8.566,131
Journal of Consumer Research,8.562,132
European Urology,8.529,133
The Lancet Public Health,8.408,134
Journal of Accounting Research,8.396,135
Advanced Energy Materials,8.378,136
JAMA Oncology,8.377,137
Annual Review of Public Health,8.291,138
Journal of Economic Perspectives,8.262,139
Annual Review of Fluid Mechanics,8.258,140
Annual Review of Plant Biology,8.258,141
Review of Finance,8.220,142
Science Immunology,8.220,143
Innovation,8.218,144
Nano-Micro Letters,8.188,145
Annual Review of Economics,8.094,146
Nature Climate Change,8.046,147
Progress in Energy and Combustion Science,8.031,148
Organization Science,8.026,149
Annual Review of Clinical Psychology,8.021,150
Nature Reviews Bioengineering,7.993,151
Advances in Optics and Photonics,7.982,152
Journal of Thoracic Oncology,7.948,153
American Economic Journal: Economic Policy,7.940,154
Nature Reviews Endocrinology,7.884,155
Journal of Monetary Economics,7.872,156
Annual Review of Physiology,7.820,157
Electrochemical Energy Reviews,7.790,158
Nucleic Acids Research,7.776,159
Nature Cell Biology,7.711,160
Marketing Science,7.543,161
Nature Metabolism,7.529,162
Journal of Accounting and Economics,7.505,163
Journal of the European Economic Association,7.503,164
The Lancet Psychiatry,7.458,165
Living Reviews in Solar Physics,7.431,166
Review of Economics and Statistics,7.425,167
Interdisciplinary Materials,7.351,168
Nature Reviews Nephrology,7.309,169
Foundations and Trends in Signal Processing,7.305,170
Nature Sustainability,7.292,171
Cancer Discovery,7.283,172
Gastroenterology,7.195,173
Nature Physics,7.125,174
Annual Review of Neuroscience,7.112,175
Nature Aging,7.081,176
Cell Host and Microbe,7.067,177
Nature Reviews Psychology,7.064,178
Materials Science and Engineering R: Reports,7.056,179
Journal of the American Mathematical Society,7.033,180
IEEE Journal on Selected Areas in Communications,7.023,181
Neuro-Oncology,6.974,182
Journal of Marketing Research,6.961,183
Advances in Methods and Practices in Psychological Science,6.947,184
Annual Review of Political Science,6.903,185
Journal of the Academy of Marketing Science,6.896,186
Nature Microbiology,6.893,187
Entrepreneurship Theory and Practice,6.876,188
Organization Theory,6.872,189
The Lancet Digital Health,6.838,190
Journal of Applied Psychology,6.803,191
ACS Energy Letters,6.799,192
Annual Review of Medicine,6.794,193
Annual Review of Cell and Developmental Biology,6.788,194
The Lancet Respiratory Medicine,6.788,195
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,6.783,196
Neuron,6.755,197
Science Translational Medicine,6.722,198
Nature Chemistry,6.710,199
Clinical Psychology Review,6.617,200
Acta Numerica,6.610,201
Pharmacological Reviews,6.603,202
Journal of Human Resources,6.588,203
Annual Review of Marine Science,6.571,204
Diabetes Care,6.566,205
Fungal Diversity,6.546,206
Annual Review of Genetics,6.455,207
Physical Review X,6.415,208
Journal of Labor Economics,6.404,209
Cancer Communications,6.403,210
The Lancet Planetary Health,6.386,211
Innovation Geoscience,6.384,212
American Journal of Political Science,6.280,213
International Journal of Information Management,6.260,214
Qualitative Research in Psychology,6.248,215
Proceedings of the IEEE,6.247,216
Cell Genomics,6.238,217
JAMA Neurology,6.237,218
Journal of Business Venturing,6.234,219
iMeta,6.223,220
Nature Structural and Molecular Biology,6.187,221
Inventiones Mathematicae,6.183,222
Nano Research Energy,6.160,223
Progress in Polymer Science,6.089,224
Nature Food,6.088,225
Analytic Methods in Accident Research,6.076,226
Annual Review of Financial Economics,6.062,227
Journal of Service Research,6.011,228
Chem,6.010,229
Nature Water,5.962,230
Science Robotics,5.940,231
JAMA Cardiology,5.936,232
Cellular and Molecular Immunology,5.916,233
Annual Review of Earth and Planetary Sciences,5.885,234
Nature Machine Intelligence,5.876,235
The Lancet Global Health,5.870,236
Nature Protocols,5.854,237
Psychological Science in the Public Interest,5.852,238
Progress in Retinal and Eye Research,5.838,239
Journal of Experimental Medicine,5.834,240
Nature Reviews Neurology,5.828,241
Blood,5.823,242
Review of Accounting Studies,5.817,243
Cement and Concrete Research,5.815,244
ACM Computing Surveys,5.797,245
Educational Psychologist,5.794,246
Energy Storage Materials,5.791,247
JAMA Psychiatry,5.755,248
Materials Today,5.755,249
Physics Reports,5.735,250
Annals of the Rheumatic Diseases,5.731,251
Management Science,5.720,252
Genome Biology,5.710,253
Journal of the National Cancer Institute,5.703,254
Carbon Energy,5.701,255
Annual Review of Environment and Resources,5.700,256
InfoMat,5.683,257
Reports on Progress in Physics,5.666,258
National Center for Health Statistics Data Brief,5.630,259
Clinical Microbiology Reviews,5.594,260
International Journal of Machine Tools and Manufacture,5.577,261
European Journal of Heart Failure,5.559,262
Hepatology,5.557,263
Journal of the American Chemical Society,5.554,264
Angewandte Chemie - International Edition,5.550,265
Nature Human Behaviour,5.537,266
American Political Science Review,5.532,267
Nature Chemical Biology,5.521,268
Molecular Plant,5.519,269
JNCCN Journal of the National Comprehensive Cancer Network,5.514,270
Nature Reviews Rheumatology,5.507,271
Personality and Social Psychology Review,5.493,272
Molecular Neurodegeneration,5.488,273
Journal of Management Studies,5.465,274
Trends in Cell Biology,5.455,275
The Lancet Infectious Diseases,5.446,276
Advanced Functional Materials,5.439,277
Accounts of Chemical Research,5.433,278
JACC: Cardiovascular Imaging,5.426,279
Personnel Psychology,5.414,280
Nature Synthesis,5.403,281
Leadership Quarterly,5.393,282
Perspectives on Psychological Science,5.393,283
Protein and Cell,5.392,284
Economic Journal,5.371,285
Human Reproduction Update,5.357,286
JAMA,5.352,287
PRX Quantum,5.341,288
GigaScience,5.314,289
Drug Resistance Updates,5.282,290
American Journal of Psychiatry,5.270,291
Annual Review of Sociology,5.262,292
The Lancet Microbe,5.262,293
American Economic Journal: Microeconomics,5.225,294
JACC: Heart Failure,5.218,295
Computers and Education: Artificial Intelligence,5.217,296
"Annual Review of Ecology, Evolution, and Systematics",5.214,297
Strategic Organization,5.210,298
EnergyChem,5.185,299
Applied Catalysis B: Environmental,5.180,300
Developmental Cell,5.180,301
The Lancet Healthy Longevity,5.166,302
Annual Review of Biophysics,5.152,303
Blood Cancer Journal,5.139,304
Nature Geoscience,5.138,305
Advanced Powder Materials,5.100,306
JAMA Pediatrics,5.085,307
Genome Medicine,5.078,308
Journal of International Business Studies,5.078,309
American Journal of Respiratory and Critical Care Medicine,5.076,310
Academy of Management Perspectives,5.063,311
Organization Studies,5.032,312
Light: Science and Applications,5.018,313
Intensive Care Medicine,4.999,314
European Heart Journal,4.987,315
International Organization,4.977,316
Cell Systems,4.943,317
The Lancet Haematology,4.936,318
Psychological Methods,4.925,319
Psychotherapy and Psychosomatics,4.904,320
Circulation Research,4.897,321
Trends in Ecology and Evolution,4.876,322
Cell Death and Differentiation,4.866,323
Information Systems Research,4.850,324
Health Psychology Review,4.838,325
EMBO Journal,4.821,326
Nature Plants,4.815,327
Matter,4.804,328
Clinical Cancer Research,4.800,329
Molecular Systems Biology,4.783,330
Advanced Photonics,4.777,331
Annals of Statistics,4.769,332
Nature Communications,4.761,333
Critical Finance Review,4.754,334
Trends in Cancer,4.727,335
Trends in Neurosciences,4.726,336
British Journal of Sports Medicine,4.724,337
Journal of Clinical Investigation,4.721,338
Brain,4.720,339
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,4.718,340
Review of Educational Research,4.700,341
Biological Psychiatry,4.684,342
Protein Science,4.657,343
Annual Review of Entomology,4.655,344
Coordination Chemistry Reviews,4.638,345
JAMA Internal Medicine,4.623,346
Review of Asset Pricing Studies,4.621,347
IEEE Transactions on Smart Grid,4.608,348
Global Change Biology,4.600,349
Nano Energy,4.566,350
Journal of Supply Chain Management,4.562,351
Ophthalmology,4.552,352
Journal of Consumer Psychology,4.547,353
European Review of Social Psychology,4.544,354
American Journal of Human Genetics,4.531,355
Journal of Extracellular Vesicles,4.524,356
Journal of Operations Management,4.520,357
PhotoniX,4.514,358
The Lancet HIV,4.506,359
Trends in Cognitive Sciences,4.506,360
Annual Review of Microbiology,4.505,361
European Respiratory Journal,4.502,362
Wiley Interdisciplinary Reviews: Computational Molecular Science,4.501,363
ACS Nano,4.497,364
Implementation Science,4.491,365
Manufacturing and Service Operations Management,4.486,366
MIS Quarterly: Management Information Systems,4.486,367
Acta Neuropathologica,4.483,368
Advances in Physics,4.468,369
Health Affairs,4.465,370
Journal of Financial and Quantitative Analysis,4.465,371
Journal of Advertising,4.455,372
IEEE Transactions on Wireless Communications,4.454,373
IEEE Transactions on Cybernetics,4.450,374
Autophagy,4.447,375
Cement and Concrete Composites,4.446,376
Quantitative Economics,4.438,377
Annual Review of Nutrition,4.435,378
Progress in Particle and Nuclear Physics,4.428,379
IEEE Wireless Communications,4.406,380
Educational Psychology Review,4.384,381
Biological Reviews,4.383,382
Current Climate Change Reports,4.363,383
Accounts of Materials Research,4.358,384
Nature Ecology and Evolution,4.357,385
Political Analysis,4.353,386
Science Advances,4.324,387
Journal of International Economics,4.321,388
Blood Cancer Discovery,4.316,389
Periodontology 2000,4.316,390
Journal of World Business,4.297,391
The Lancet Child and Adolescent Health,4.289,392
Annual Review of Genomics and Human Genetics,4.280,393
PLoS Medicine,4.279,394
IEEE Transactions on Sustainable Energy,4.261,395
Exploration,4.231,396
Journal for ImmunoTherapy of Cancer,4.220,397
Ageing Research Reviews,4.216,398
Sleep Medicine Reviews,4.209,399
Military Medical Research,4.206,400
Journal of Retailing,4.204,401
American Sociological Review,4.203,402
Cancer Treatment Reviews,4.183,403
RAND Journal of Economics,4.173,404
Journal of Business and Economic Statistics,4.171,405
Comparative Political Studies,4.169,406
npj Digital Medicine,4.164,407
Environmental Science and Ecotechnology,4.161,408
Trends in Biochemical Sciences,4.158,409
Human Relations,4.148,410
Tourism Management,4.146,411
Kidney International,4.130,412
Information Fusion,4.128,413
JAMA Surgery,4.125,414
Review of Corporate Finance Studies,4.122,415
IEEE Journal on Selected Topics in Signal Processing,4.120,416
Microbiome,4.117,417
"Forum of Mathematics, Pi",4.116,418
Journal of the American Statistical Association,4.103,419
Nature Cardiovascular Research,4.096,420
Journal of Public Economics,4.092,421
Progress in Lipid Research,4.091,422
The Lancet Regional Health - Europe,4.088,423
Molecular Biology and Evolution,4.085,424
Bioactive Materials,4.075,425
Earth System Science Data,4.066,426
Sociological Methods and Research,4.064,427
International Journal of Management Reviews,4.054,428
Econometrics Journal,4.051,429
Bone Research,4.048,430
Accounting Review,4.045,431
Microplastics and Nanoplastics,4.031,432
Annual Review of Pharmacology and Toxicology,4.029,433
Cell Reports Medicine,4.028,434
Annual Review of Virology,4.025,435
Molecular Psychiatry,4.022,436
Research Synthesis Methods,4.020,437
Seminars in Cancer Biology,4.016,438
Molecular Therapy,4.008,439
Foundations and Trends in Systems and Control,4.006,440
Nature Astronomy,4.006,441
Genes and Development,4.005,442
Experimental and Molecular Medicine,4.001,443
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,3.998,444
Annual Review of Phytopathology,3.984,445
Soil Biology and Biochemistry,3.982,446
ISME Journal,3.973,447
Remote Sensing of Environment,3.972,448
"Genomics, Proteomics and Bioinformatics",3.964,449
Annual Review of Cancer Biology,3.955,450
Internet of Things and Cyber-Physical Systems,3.952,451
Annual Review of Nuclear and Particle Science,3.950,452
Cardiovascular Research,3.947,453
Journal of Development Economics,3.945,454
Cambridge Journal of Mathematics,3.940,455
Journal of Allergy and Clinical Immunology,3.935,456
Human Resource Management Review,3.934,457
Environmental Chemistry Letters,3.929,458
Trends in Genetics,3.928,459
Advanced Fiber Materials,3.919,460
Energy Economics,3.919,461
Duke Mathematical Journal,3.913,462
International Journal of Educational Technology in Higher Education,3.912,463
IEEE Transactions on Pattern Analysis and Machine Intelligence,3.910,464
Genome Research,3.909,465
Ecology Letters,3.905,466
Qualitative Psychology,3.904,467
Mycosphere,3.903,468
Renewable and Sustainable Energy Reviews,3.901,469
Trends in Immunology,3.895,470
Sports Medicine,3.887,471
Brookings Papers on Economic Activity,3.884,472
Cancer Research,3.879,473
International Journal of Research in Marketing,3.869,474
Studies in Mycology,3.867,475
Journal of Personality and Social Psychology,3.865,476
IEEE/CAA Journal of Automatica Sinica,3.863,477
Journal of Organizational Behavior,3.862,478
Theoretical Economics,3.857,479
Radiology,3.856,480
Journal of Urban Economics,3.854,481
Translational Neurodegeneration,3.850,482
Communications on Pure and Applied Mathematics,3.848,483
Water Research,3.843,484
Cell Discovery,3.842,485
Educational Research Review,3.839,486
The Lancet Rheumatology,3.837,487
Endocrine Pathology,3.832,488
Med,3.815,489
World Politics,3.810,490
Strategy Science,3.806,491
IEEE Transactions on Automatic Control,3.804,492
Wiley Interdisciplinary Reviews: Climate Change,3.803,493
Pharmacology and Therapeutics,3.800,494
Cell Reports,3.796,495
Critical Reviews in Environmental Science and Technology,3.788,496
Arthritis and Rheumatology,3.784,497
ACS Catalysis,3.782,498
Advanced Science,3.775,499
npj Flexible Electronics,3.774,500
Trends in Pharmacological Sciences,3.771,501
JACC: CardioOncology,3.768,502
Journal of Strategic Information Systems,3.765,503
Aggregate,3.760,504
Journal of the American Society of Nephrology,3.749,505
Biogeotechnics,3.744,506
Annals of Neurology,3.736,507
SmartMat,3.725,508
Advanced Drug Delivery Reviews,3.721,509
Advances in Applied Energy,3.721,510
Astrophysical Journal Letters,3.713,511
Chem Catalysis,3.710,512
Plant Cell,3.704,513
Cold Spring Harbor Perspectives in Biology,3.699,514
New Astronomy Reviews,3.697,515
"Annual Review of Control, Robotics, and Autonomous Systems",3.690,516
Environmental Science and Technology,3.690,517
IEEE Transactions on Neural Networks and Learning Systems,3.686,518
Human Resource Management,3.663,519
IEEE Geoscience and Remote Sensing Magazine,3.662,520
Journal of Management Information Systems,3.652,521
Clinical and Molecular Hepatology,3.635,522
eClinicalMedicine,3.633,523
Journal of Manufacturing Systems,3.633,524
Cancer Immunology Research,3.630,525
IEEE Transactions on Power Systems,3.629,526
Allergy: European Journal of Allergy and Clinical Immunology,3.622,527
Diabetologia,3.617,528
Energy and Environmental Materials,3.615,529
IEEE Transactions on Fuzzy Systems,3.614,530
Business Strategy and the Environment,3.609,531
Diabetes Technology and Therapeutics,3.609,532
Gut Microbes,3.609,533
Biometrika,3.605,534
Alzheimer's and Dementia,3.600,535
Information Systems Journal,3.599,536
Journal of Product Innovation Management,3.598,537
eBioMedicine,3.591,538
Journal of Advanced Ceramics,3.591,539
ESMO Open,3.582,540
Eco-Environment and Health,3.580,541
Trends in Molecular Medicine,3.577,542
International Materials Reviews,3.574,543
EMBO Molecular Medicine,3.571,544
British Journal of Political Science,3.563,545
Opto-Electronic Advances,3.557,546
National Health Statistics Reports,3.555,547
Plant Communications,3.552,548
JAMA Network Open,3.546,549
Proceedings of the IEEE International Conference on Computer Vision,3.544,550
International Journal of Plasticity,3.531,551
Metabolism: Clinical and Experimental,3.529,552
JACC: Cardiovascular Interventions,3.527,553
JHEP Reports,3.525,554
Computer Assisted Language Learning,3.513,555
Frontiers in Ecology and the Environment,3.513,556
Clinical Gastroenterology and Hepatology,3.509,557
One Earth,3.509,558
Journal of Business Research,3.499,559
Psychology and Marketing,3.497,560
IEEE Transactions on Evolutionary Computation,3.495,561
IEEE Transactions on Communications,3.492,562
Acta Pharmaceutica Sinica B,3.489,563
Review of Environmental Economics and Policy,3.488,564
Trends in Endocrinology and Metabolism,3.485,565
ISPRS Journal of Photogrammetry and Remote Sensing,3.480,566
Nature Computational Science,3.472,567
Technological Forecasting and Social Change,3.472,568
Global Strategy Journal,3.471,569
Earth-Science Reviews,3.463,570
European Journal of Information Systems,3.459,571
Leukemia,3.458,572
Journal of Integrative Plant Biology,3.455,573
Journal of Public Administration Research and Theory,3.454,574
Journal of Economic Theory,3.443,575
Research Policy,3.443,576
Journal of Retailing and Consumer Services,3.439,577
Organizational Psychology Review,3.434,578
Journal of Politics,3.428,579
International Journal of Transgender Health,3.422,580
European Urology Oncology,3.419,581
Seminars in Immunology,3.417,582
Circulation: Arrhythmia and Electrophysiology,3.416,583
IEEE Transactions on Industrial Informatics,3.416,584
"Journal of Cachexia, Sarcopenia and Muscle",3.416,585
Energy Material Advances,3.415,586
Proceedings of the National Academy of Sciences of the United States of America,3.414,587
Earth System Dynamics,3.412,588
Energy Reviews,3.411,589
FEMS Microbiology Reviews,3.408,590
Protection and Control of Modern Power Systems,3.398,591
Journal of Energy Chemistry,3.394,592
Ecological Monographs,3.383,593
International Journal of Extreme Manufacturing,3.380,594
eLife,3.379,595
"Journal of Neurology, Neurosurgery and Psychiatry",3.379,596
Annals of Internal Medicine,3.378,597
European Journal of Political Research,3.377,598
Annual Review of Materials Research,3.376,599
Redox Biology,3.374,600
Chinese Journal of Catalysis,3.373,601
Foundations and Trends in Robotics,3.370,602
npj Precision Oncology,3.370,603
Strategic Entrepreneurship Journal,3.370,604
Theranostics,3.370,605
Journal of Interactive Marketing,3.366,606
Production and Operations Management,3.364,607
Drugs,3.362,608
IEEE Journal of Solid-State Circuits,3.362,609
Journal of the Association of Environmental and Resource Economists,3.361,610
Journal of Cell Biology,3.359,611
Annual Review of Biomedical Data Science,3.356,612
Applied Mechanics Reviews,3.356,613
Global Environmental Change,3.355,614
Cardiovascular Diabetology,3.353,615
Journal of Service Management,3.348,616
"Astrophysical Journal, Supplement Series",3.344,617
Computers and Education,3.343,618
Journal of Innovation and Knowledge,3.341,619
Journal of Research in Interactive Marketing,3.336,620
Journal of Experimental and Clinical Cancer Research,3.328,621
Annals of Probability,3.326,622
Structural Equation Modeling,3.321,623
Journal of the Royal Statistical Society. Series B: Statistical Methodology,3.308,624
Technovation,3.308,625
Annual Review of Animal Biosciences,3.307,626
Geometric and Functional Analysis,3.303,627
Small,3.301,628
Immunological Reviews,3.298,629
Trends in Plant Science,3.297,630
Biomarker Research,3.296,631
New Phytologist,3.293,632
Medical Image Analysis,3.289,633
ACS Central Science,3.286,634
Journal of Magnesium and Alloys,3.282,635
IEEE Communications Magazine,3.281,636
World Bank Research Observer,3.281,637
Computer Science Review,3.276,638
Progress in Aerospace Sciences,3.270,639
Revista Espanola de Cardiologia (English edition),3.267,640
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",3.254,641
Trends in Food Science and Technology,3.247,642
Journal of Corporate Finance,3.246,643
European Journal of Epidemiology,3.241,644
International Economic Review,3.238,645
Molecular Metabolism,3.235,646
Financial Management,3.226,647
Archive for Rational Mechanics and Analysis,3.223,648
Journal of Internal Medicine,3.223,649
Advanced Composites and Hybrid Materials,3.214,650
AI Open,3.212,651
Journal of Hospitality Marketing and Management,3.212,652
Current Directions in Psychological Science,3.211,653
Journal of Statistical Software,3.211,654
Academy of Management Discoveries,3.207,655
Journal of Financial Intermediation,3.204,656
American Psychologist,3.200,657
Journal of Sport and Health Science,3.197,658
Current Opinion in Plant Biology,3.193,659
"Qualitative Research in Sport, Exercise and Health",3.193,660
Human Reproduction Open,3.190,661
npj Urban Sustainability,3.185,662
Journal of Neuroinflammation,3.183,663
Light: Advanced Manufacturing,3.177,664
Journal of Biomedical Science,3.172,665
Energy Materials and Devices,3.171,666
Medicinal Research Reviews,3.169,667
Annual Review of Biomedical Engineering,3.168,668
Computational Visual Media,3.166,669
Journal of Environmental Economics and Management,3.165,670
Microbiology and Molecular Biology Reviews,3.165,671
Clinical Reviews in Allergy and Immunology,3.163,672
EuroIntervention,3.160,673
Trends in Microbiology,3.152,674
Journal of Clinical Epidemiology,3.149,675
Mucosal Immunology,3.148,676
Environment International,3.145,677
British Journal of Cancer,3.144,678
Cold Spring Harbor Perspectives in Medicine,3.141,679
International Journal of Contemporary Hospitality Management,3.141,680
International Journal of Mining Science and Technology,3.137,681
ILR Review,3.136,682
International Journal of Computer Vision,3.136,683
Radiology: Artificial Intelligence,3.128,684
Journal of the Association for Information Systems,3.119,685
Carbon Research,3.116,686
Business and Society,3.113,687
American Journal of Clinical Dermatology,3.104,688
Journal of Management Inquiry,3.103,689
Journal of Travel Research,3.100,690
"Trauma, Violence, and Abuse",3.093,691
Experimental Hematology and Oncology,3.092,692
Advances in Colloid and Interface Science,3.090,693
Small Structures,3.090,694
Progress in Human Geography,3.087,695
IEEE Transactions on Power Electronics,3.083,696
Optica,3.080,697
Review of Economic Dynamics,3.080,698
Journal of Hazardous Materials,3.078,699
American Journal of Hematology,3.076,700
Neuroscience and Biobehavioral Reviews,3.076,701
Cellular and Molecular Gastroenterology and Hepatology,3.069,702
Contemporary Accounting Research,3.069,703
Psychological Review,3.064,704
Europace,3.057,705
Health systems in transition,3.055,706
Automatica,3.054,707
Journal of Family Business Strategy,3.053,708
Current Obesity Reports,3.044,709
Journal of the European Mathematical Society,3.043,710
Journal of Prevention of Alzheimer's Disease,3.040,711
Circulation: Cardiovascular Interventions,3.039,712
Journal of Business Ethics,3.039,713
Annual Review of Chemical and Biomolecular Engineering,3.037,714
Circulation: Heart Failure,3.037,715
Digital Journalism,3.037,716
Current Opinion in Psychology,3.036,717
International Journal of Oral Science,3.035,718
Clinical and Translational Medicine,3.030,719
eTransportation,3.030,720
Nano Materials Science,3.030,721
Human Resource Management Journal,3.027,722
JACC: Clinical Electrophysiology,3.027,723
Small Business Economics,3.025,724
American Journal of Kidney Diseases,3.024,725
Political Behavior,3.021,726
SIAM Review,3.021,727
Computer-Aided Civil and Infrastructure Engineering,3.012,728
Transport Reviews,3.011,729
Artificial Intelligence Review,3.010,730
Neurology: Neuroimmunology and NeuroInflammation,3.008,731
IEEE Transactions on Industrial Electronics,3.006,732
BMJ Mental Health,3.005,733
European Respiratory Review,3.005,734
Journal of the American Academy of Child and Adolescent Psychiatry,3.005,735
Obesity Reviews,3.005,736
Wiley Interdisciplinary Reviews: RNA,3.005,737
Biomaterials,2.998,738
Clinical Infectious Diseases,2.992,739
Journal of Crohn's and Colitis,2.991,740
EcoMat,2.988,741
Journal of Child Psychology and Psychiatry and Allied Disciplines,2.988,742
Movement Disorders,2.988,743
BMJ,2.976,744
Acta Materialia,2.972,745
npj Breast Cancer,2.968,746
Nano Letters,2.967,747
ACM Transactions on Graphics,2.965,748
IEEE Transactions on Robotics,2.965,749
Public Administration Review,2.964,750
Nano Today,2.962,751
Composites Part B: Engineering,2.961,752
Applied Psychology,2.958,753
"Vital and Health Statistics, Series 2: Data Evaluation and Methods Research",2.958,754
Communications Earth and Environment,2.953,755
Studies in Science Education,2.951,756
Cancer,2.947,757
Molecular Aspects of Medicine,2.947,758
Methods in Ecology and Evolution,2.945,759
Seminars in Immunopathology,2.945,760
Systematic Biology,2.945,761
Green Carbon,2.944,762
JACS Au,2.944,763
Neuropsychopharmacology,2.944,764
Comprehensive Reviews in Food Science and Food Safety,2.935,765
Annals of PDE,2.932,766
Landscape and Urban Planning,2.932,767
Communications in Partial Differential Equations,2.926,768
Computers in Human Behavior,2.923,769
Developmental Review,2.920,770
Information and Management,2.920,771
Work and Occupations,2.918,772
JCI Insight,2.917,773
Engineering Geology,2.916,774
International Journal of Advertising,2.914,775
npj Parkinson's Disease,2.914,776
Long Range Planning,2.909,777
Current Opinion in Structural Biology,2.908,778
Critical Reviews in Biochemistry and Molecular Biology,2.907,779
npj Climate and Atmospheric Science,2.907,780
Plant Biotechnology Journal,2.907,781
Aging Cell,2.905,782
Applied Physics Reviews,2.904,783
Interdisciplinary Medicine,2.903,784
National Science Review,2.903,785
Applied Energy,2.902,786
Blood Advances,2.901,787
Alimentary Pharmacology and Therapeutics,2.892,788
Robotics and Computer-Integrated Manufacturing,2.892,789
Automation in Construction,2.890,790
